zipcode,lat,lng,city,state_id,state_name,zcta,parent_zcta,population_zip,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
8525,40.39621,-74.78327,Hopewell,NJ,New Jersey,TRUE,,4788,82.9,34021,Mercer,"{'34019':13.03,'34021':86.97}",Mercer|Hunterdon,34021|34019,FALSE,FALSE,America/New_York
8527,40.10475,-74.34993,Jackson,NJ,New Jersey,TRUE,,56261,246.6,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8528,40.38659,-74.61873,Kingston,NJ,New Jersey,TRUE,,86,191.5,34035,Somerset,"{'34023':25.71,'34035':74.29}",Somerset|Middlesex,34035|34023,FALSE,FALSE,America/New_York
8530,40.37135,-74.89675,Lambertville,NJ,New Jersey,TRUE,,7458,122.7,34019,Hunterdon,"{'34019':93.28,'34021':6.72}",Hunterdon|Mercer,34019|34021,FALSE,FALSE,America/New_York
8533,40.07107,-74.49363,New Egypt,NJ,New Jersey,TRUE,,6604,144.1,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8534,40.33008,-74.79294,Pennington,NJ,New Jersey,TRUE,,13167,227.7,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8535,40.23562,-74.43932,Millstone Township,NJ,New Jersey,TRUE,,4711,116.2,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8536,40.33428,-74.58234,Plainsboro,NJ,New Jersey,TRUE,,19793,1061.3,34023,Middlesex,{'34023':100},Middlesex,34023,FALSE,FALSE,America/New_York
8540,40.3633,-74.65568,Princeton,NJ,New Jersey,TRUE,,48968,350.4,34021,Mercer,"{'34021':70.46,'34023':13.56,'34035':15.98}",Mercer|Somerset|Middlesex,34021|34035|34023,FALSE,FALSE,America/New_York
8542,40.3529,-74.66031,Princeton,NJ,New Jersey,TRUE,,5927,3867.7,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8550,40.28106,-74.61756,Princeton Junction,NJ,New Jersey,TRUE,,19246,403.9,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8551,40.44172,-74.84013,Ringoes,NJ,New Jersey,TRUE,,5157,79.2,34019,Hunterdon,{'34019':100},Hunterdon,34019,FALSE,FALSE,America/New_York
8553,40.40015,-74.64054,Rocky Hill,NJ,New Jersey,TRUE,,598,431.1,34035,Somerset,{'34035':100},Somerset,34035,FALSE,FALSE,America/New_York
8554,40.11647,-74.778,Roebling,NJ,New Jersey,TRUE,,3947,1395.9,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8555,40.21992,-74.47185,Roosevelt,NJ,New Jersey,TRUE,,802,200.4,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8558,40.41354,-74.70392,Skillman,NJ,New Jersey,TRUE,,7598,153.5,34035,Somerset,"{'34021':1.66,'34035':98.34}",Somerset|Mercer,34035|34021,FALSE,FALSE,America/New_York
8559,40.43751,-74.97097,Stockton,NJ,New Jersey,TRUE,,5110,48.1,34019,Hunterdon,{'34019':100},Hunterdon,34019,FALSE,FALSE,America/New_York
8560,40.31342,-74.85903,Titusville,NJ,New Jersey,TRUE,,3623,103.9,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8561,40.24943,-74.58082,Windsor,NJ,New Jersey,TRUE,,320,72.6,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8562,40.06652,-74.59486,Wrightstown,NJ,New Jersey,TRUE,,4460,120.6,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8608,40.21897,-74.76784,Trenton,NJ,New Jersey,TRUE,,893,1195.2,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8609,40.22596,-74.74081,Trenton,NJ,New Jersey,TRUE,,12759,3829.6,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8610,40.19247,-74.71581,Trenton,NJ,New Jersey,TRUE,,30493,1524.5,34021,Mercer,"{'34005':1.3,'34021':98.7}",Mercer|Burlington,34021|34005,FALSE,FALSE,America/New_York
8611,40.19322,-74.74471,Trenton,NJ,New Jersey,TRUE,,26608,4114.9,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8618,40.24823,-74.78773,Trenton,NJ,New Jersey,TRUE,,39731,2431.6,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8619,40.24121,-74.69605,Trenton,NJ,New Jersey,TRUE,,21013,878.5,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8620,40.16698,-74.64882,Trenton,NJ,New Jersey,TRUE,,12052,633.1,34021,Mercer,"{'34005':30.69,'34021':69.31}",Mercer|Burlington,34021|34005,FALSE,FALSE,America/New_York
8628,40.26627,-74.82334,Trenton,NJ,New Jersey,TRUE,,9315,501,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8629,40.22064,-74.73122,Trenton,NJ,New Jersey,TRUE,,14108,5979.3,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8638,40.25675,-74.763,Trenton,NJ,New Jersey,TRUE,,22294,1532.3,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8640,40.0035,-74.58933,Joint Base Mdl,NJ,New Jersey,TRUE,,7753,139,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8641,40.02703,-74.58801,Joint Base Mdl,NJ,New Jersey,TRUE,,4478,270.1,34005,Burlington,{'34005':100},Burlington,34005,FALSE,FALSE,America/New_York
8648,40.28492,-74.72187,Lawrence Township,NJ,New Jersey,TRUE,,31725,744.7,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8690,40.22502,-74.66034,Trenton,NJ,New Jersey,TRUE,,18676,1023.1,34021,Mercer,{'34021':100},Mercer,34021,FALSE,FALSE,America/New_York
8691,40.20977,-74.59382,Robbinsville,NJ,New Jersey,TRUE,,16033,223.2,34021,Mercer,"{'34021':98.42,'34025':1.58}",Mercer|Monmouth,34021|34025,FALSE,FALSE,America/New_York
8701,40.07645,-74.20323,Lakewood,NJ,New Jersey,TRUE,,100763,1456.4,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8720,40.13872,-74.10104,Allenwood,NJ,New Jersey,TRUE,,770,232.5,34025,Monmouth,{'34025':100},Monmouth,34025,FALSE,FALSE,America/New_York
8721,39.90417,-74.15523,Bayville,NJ,New Jersey,TRUE,,20873,510,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
8722,39.92854,-74.20228,Beachwood,NJ,New Jersey,TRUE,,11210,1530.1,34029,Ocean,{'34029':100},Ocean,34029,FALSE,FALSE,America/New_York
